Entity,Code,Year,Support political action on climate
Algeria,DZA,2023,75.3
Armenia,ARM,2023,70
Australia,AUS,2023,71.7
Austria,AUT,2023,68
Belgium,BEL,2023,67.1
Brazil,BRA,2023,78.4
Bulgaria,BGR,2023,73.9
Canada,CAN,2023,72
Chile,CHL,2023,78.4
China,CHN,2023,75.8
Czechia,CZE,2023,69
Denmark,DNK,2023,70.4
Ecuador,ECU,2023,74.4
Finland,FIN,2023,64.5
France,FRA,2023,70.6
Gambia,GMB,2023,76
Germany,DEU,2023,67.7
Ghana,GHA,2023,77.6
Greece,GRC,2023,70.5
India,IND,2023,77.9
Ireland,IRL,2023,73.3
Israel,ISR,2023,68.4
Italy,ITA,2023,73.8
Japan,JPN,2023,58.9
Kenya,KEN,2023,73.2
Latvia,LVA,2023,62.5
Mexico,MEX,2023,76.4
Morocco,MAR,2023,74.9
Netherlands,NLD,2023,70.6
New Zealand,NZL,2023,67
Nigeria,NGA,2023,76.6
North Macedonia,MKD,2023,71.9
Norway,NOR,2023,67
Peru,PER,2023,71.9
Philippines,PHL,2023,76.4
Poland,POL,2023,70.2
Portugal,PRT,2023,75.6
Romania,ROU,2023,71.7
Russia,RUS,2023,65
Saudi Arabia,SAU,2023,64.4
Serbia,SRB,2023,75.6
Singapore,SGP,2023,71.9
Slovakia,SVK,2023,64.4
Slovenia,SVN,2023,69.7
South Africa,ZAF,2023,73.3
South Korea,KOR,2023,72.5
Spain,ESP,2023,75.1
Sri Lanka,LKA,2023,77.9
Sudan,SDN,2023,75
Sweden,SWE,2023,66.3
Switzerland,CHE,2023,69.9
Taiwan,TWN,2023,77.3
Tanzania,TZA,2023,71.3
Thailand,THA,2023,73.8
Turkey,TUR,2023,80.2
Uganda,UGA,2023,78.3
Ukraine,UKR,2023,77
United Arab Emirates,ARE,2023,70.5
United Kingdom,GBR,2023,72.7
United States,USA,2023,67.9
Uruguay,URY,2023,76.9
Venezuela,VEN,2023,76.6
Vietnam,VNM,2023,76.1
World,OWID_WRL,2023,72
